ess=1.0166, density=-1711.5996, inc_kl=899.6075, exc_kl=2019.9535
ess=1.0270, density=-1108.2145, inc_kl=1043.0577, exc_kl=1236.4271
ess=1.0489, density=-788.0539, inc_kl=1220.6855, exc_kl=749.5067
ess=1.0765, density=-631.5587, inc_kl=1431.1865, exc_kl=493.9882
ess=1.1125, density=-572.5342, inc_kl=1674.8696, exc_kl=396.5960
ess=1.1367, density=-547.2663, inc_kl=1918.9064, exc_kl=355.8389
ess=1.1510, density=-534.2372, inc_kl=2123.4951, exc_kl=334.6175
ess=1.1613, density=-525.8506, inc_kl=2264.8462, exc_kl=323.3967
ess=1.1709, density=-521.0636, inc_kl=2346.7654, exc_kl=317.8677
ess=1.1693, density=-517.0592, inc_kl=2392.1660, exc_kl=315.4449
ess=1.1691, density=-513.4835, inc_kl=2413.4272, exc_kl=314.6944
ess=1.1688, density=-511.8443, inc_kl=2410.9414, exc_kl=314.9277
ess=1.1730, density=-509.5542, inc_kl=2383.3911, exc_kl=315.8872
ess=1.1661, density=-507.8797, inc_kl=2347.7214, exc_kl=317.5300
ess=1.1639, density=-506.6719, inc_kl=2308.0764, exc_kl=318.0941
ess=1.1640, density=-506.0826, inc_kl=2253.3547, exc_kl=319.5502
ess=1.1633, density=-505.4693, inc_kl=2205.2827, exc_kl=321.8606
ess=1.1609, density=-504.7195, inc_kl=2154.5361, exc_kl=325.4211
ess=1.1642, density=-503.7936, inc_kl=2107.0732, exc_kl=329.3344
ess=1.1591, density=-502.4442, inc_kl=2067.9429, exc_kl=333.3013
ess=1.1565, density=-501.3395, inc_kl=2038.3363, exc_kl=337.3731
ess=1.1586, density=-499.4146, inc_kl=2008.4813, exc_kl=342.0964
ess=1.1545, density=-497.2720, inc_kl=1982.2501, exc_kl=345.7085
ess=1.1571, density=-495.3412, inc_kl=1961.1250, exc_kl=348.3648
ess=1.1631, density=-492.8416, inc_kl=1940.3320, exc_kl=351.1481
ess=1.1564, density=-490.9912, inc_kl=1925.8451, exc_kl=353.6899
ess=1.1594, density=-489.1947, inc_kl=1912.9169, exc_kl=355.9498
ess=1.1591, density=-486.2324, inc_kl=1899.3043, exc_kl=359.2299
ess=1.1603, density=-483.2212, inc_kl=1895.3267, exc_kl=361.4336
ess=1.1593, density=-482.1747, inc_kl=1888.6185, exc_kl=363.7620
ess=1.1594, density=-480.3229, inc_kl=1876.9722, exc_kl=365.4902
ess=1.1586, density=-478.1372, inc_kl=1867.6222, exc_kl=368.1907
ess=1.1630, density=-475.4373, inc_kl=1864.5768, exc_kl=369.7670
ess=1.1626, density=-474.7906, inc_kl=1860.9126, exc_kl=371.5477
ess=1.1650, density=-472.4841, inc_kl=1851.7916, exc_kl=373.3441
ess=1.1644, density=-469.7206, inc_kl=1848.9935, exc_kl=374.2664
ess=1.1656, density=-468.8586, inc_kl=1844.6041, exc_kl=375.4504
ess=1.1644, density=-466.4071, inc_kl=1836.0249, exc_kl=376.9504
ess=1.1694, density=-464.9206, inc_kl=1830.2443, exc_kl=378.1152
ess=1.1662, density=-462.7474, inc_kl=1826.8973, exc_kl=378.6754
ess=1.1656, density=-460.3364, inc_kl=1819.5720, exc_kl=379.6800
ess=1.1716, density=-459.0305, inc_kl=1809.0820, exc_kl=380.7625
ess=1.1677, density=-458.0316, inc_kl=1804.3959, exc_kl=381.3919
ess=1.1691, density=-456.6144, inc_kl=1800.1602, exc_kl=382.0688
ess=1.1661, density=-456.0653, inc_kl=1789.9811, exc_kl=382.7200
ess=1.1633, density=-454.3334, inc_kl=1781.4479, exc_kl=383.4183
ess=1.1668, density=-452.0891, inc_kl=1773.7931, exc_kl=383.5657
ess=1.1672, density=-451.9859, inc_kl=1773.0826, exc_kl=383.4084
ess=1.1699, density=-448.7870, inc_kl=1770.6134, exc_kl=383.4697
ess=1.1758, density=-450.1224, inc_kl=1768.4335, exc_kl=383.3560
